created_at,text,url,replies,retweets,favorites,user
11/3/16 17:22,RT @POTUS: It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before_,https://twitter.com/BarackObama/status/794228145310154752,4573,73795,277246,BarackObama
11/2/16 18:22,Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU,https://twitter.com/BarackObama/status/793881038862757888,1303,2145,11403,BarackObama
11/2/16 15:13,"Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now openmake sure you and y_ https://t.co/89gl6pzMGD",https://twitter.com/BarackObama/status/793833434850349056,1328,3191,14412,BarackObama
11/2/16 0:15,RT @lacasablanca: La t_pica Latina tarda 22 meses en ganar lo que un hombre blanco gana en 12 meses. Tenemos que cerrar la brecha salarial._,https://twitter.com/BarackObama/status/793607477057228800,416,1690,8770,BarackObama
11/1/16 22:26,"RT @WhiteHouse: On #LatinaEqualPay Day, we mark the work that remains to ensure that all Americans receive equal pay for equal work. https:_",https://twitter.com/BarackObama/status/793579933201231880,458,2390,9912,BarackObama
11/1/16 20:17,Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT https://t.co/E56ofoU36i,https://twitter.com/BarackObama/status/793547555204280320,570,903,5921,BarackObama
11/1/16 17:55,"With #Obamacare, people can focus on treatment for pre-existing conditions without the fear of coverage being cappe_ https://t.co/jvdFY87XBu",https://twitter.com/BarackObama/status/793511799643451392,718,2255,10173,BarackObama
11/1/16 15:54,"The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered._ https://t.co/Spjlga4eTT",https://twitter.com/BarackObama/status/793481260370792449,369,1026,5299,BarackObama
10/31/16 22:17,RT @FLOTUS: Open enrollment starts tomorrow! Check out your options at https://t.co/dg57hwz5of and share your #GetCovered story. https://t._,https://twitter.com/BarackObama/status/793215353656487936,1270,3324,13931,BarackObama
10/31/16 22:09,Lions and Tiggers and bears! Oh my! #HappyHalloween https://t.co/iU4fjBhi0Y,https://twitter.com/BarackObama/status/793213251077103617,909,6843,32781,BarackObama
